fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,total SO2,density,pH,sulphates,alcohol,quality
5.8,0.39,0.47,7.5,0.027,88.0,0.9907,3.38,0.45,14.0,6
5.8,0.29,0.21,2.6,0.025,120.0,0.9894,3.39,0.79,14.0,7
5.8,0.32,0.2,2.6,0.027,123.0,0.98936,3.36,0.78,14.0,7
5.9,0.34,0.22,2.4,0.03,135.0,0.9894,3.41,0.78,14.0,7
5.4,0.27,0.22,4.6,0.022,107.0,0.98889,3.33,0.54,14.0,6
5.6,0.49,0.13,4.5,0.039,116.0,0.9907,3.42,0.9,14.0,7
5.9,0.17,0.29,3.1,0.03,123.0,0.98913,3.41,0.33,14.0,7
5.6,0.49,0.13,4.5,0.039,116.0,0.9907,3.42,0.9,14.0,7
5.8,0.31,0.32,4.5,0.024,94.0,0.98906,3.25,0.52,14.0,7
5.8,0.31,0.32,4.5,0.024,94.0,0.98906,3.25,0.52,14.0,7
7.1,0.37,0.3,6.2,0.04,139.0,0.99021,3.17,0.27,14.0,6
6.0,0.38,0.26,3.5,0.035,111.0,0.98872,3.18,0.47,14.0,7
7.1,0.37,0.3,6.2,0.04,139.0,0.99021,3.17,0.27,14.0,6
7.7,0.38,0.23,10.8,0.03,95.0,0.99164,2.93,0.41,14.0,6
6.0,0.38,0.26,3.5,0.035,111.0,0.98872,3.18,0.47,14.0,7
7.1,0.36,0.28,2.4,0.036,115.0,0.98936,3.19,0.44,14.0,7
6.2,0.2,0.33,5.4,0.028,75.0,0.99012,3.36,0.41,14.0,7
7.1,0.44,0.37,2.7,0.041,128.0,0.9896,3.07,0.43,14.0,7
7.1,0.44,0.37,2.7,0.041,128.0,0.9896,3.07,0.43,14.0,7
6.5,0.37,0.3,2.2,0.033,107.0,0.98894,3.22,0.53,14.0,7
6.5,0.37,0.3,2.2,0.033,107.0,0.98894,3.22,0.53,14.0,7
6.3,0.22,0.34,5.0,0.032,93.0,0.99012,3.27,0.36,14.0,7
5.4,0.5,0.13,5.0,0.028,107.0,0.99079,3.48,0.88,14.0,7
5.4,0.45,0.27,6.4,0.033,102.0,0.98944,3.22,0.27,13.0,8
6.2,0.37,0.24,6.1,0.032,86.0,0.98934,3.04,0.26,13.0,8
6.7,0.21,0.36,8.55,0.02,86.0,0.99146,3.19,0.22,13.0,7
6.6,0.42,0.33,2.8,0.034,85.0,0.99,3.28,0.51,13.0,6
6.6,0.42,0.33,2.8,0.034,85.0,0.99,3.28,0.51,13.0,6
6.2,0.37,0.24,6.1,0.032,86.0,0.98934,3.04,0.26,13.0,8
7.1,0.42,0.2,2.8,0.038,109.0,0.98968,3.23,0.47,13.0,6
7.1,0.43,0.25,2.8,0.036,132.0,0.98975,3.21,0.47,13.0,6
6.3,0.34,0.31,6.0,0.02,68.0,0.98981,3.22,0.29,13.0,7
6.8,0.33,0.3,2.1,0.047,147.0,0.9886,3.24,0.56,13.0,6
7.1,0.45,0.24,2.7,0.04,87.0,0.98862,2.94,0.38,13.0,8
6.8,0.475,0.33,3.95,0.047,81.0,0.98988,3.23,0.53,13.0,7
6.9,0.33,0.31,4.2,0.04,93.0,0.9896,3.18,0.48,13.0,7
5.4,0.46,0.15,2.1,0.026,130.0,0.98953,3.39,0.77,13.0,8
5.4,0.46,0.15,2.1,0.026,130.0,0.98953,3.39,0.77,13.0,8
6.2,0.36,0.32,4.0,0.036,92.0,0.98936,3.2,0.5,13.0,7
8.1,0.4,0.32,7.9,0.031,118.0,0.99176,3.05,0.46,13.0,7
6.6,0.33,0.4,2.65,0.041,86.0,0.98916,3.11,0.39,13.0,7
8.1,0.43,0.42,6.6,0.033,141.0,0.9918,2.98,0.39,13.0,7
7.3,0.4,0.26,5.45,0.016,90.0,0.98951,2.84,0.54,13.0,7
7.3,0.43,0.37,4.6,0.028,114.0,0.991,3.23,0.43,13.0,6
5.6,0.19,0.31,2.7,0.027,100.0,0.98964,3.46,0.4,13.0,7
6.6,0.38,0.28,2.8,0.043,67.0,0.98924,3.21,0.47,13.0,6
7.1,0.44,0.23,5.8,0.035,100.0,0.99062,3.15,0.57,13.0,7
6.9,0.28,0.24,2.1,0.034,121.0,0.98882,2.98,0.43,13.0,7
7.0,0.36,0.25,5.7,0.015,73.0,0.98963,2.82,0.59,13.0,6
7.5,0.34,0.28,4.0,0.028,100.0,0.98958,3.2,0.5,13.0,7
4.4,0.46,0.1,2.8,0.024,111.0,0.98816,3.48,0.34,13.0,6
5.9,0.32,0.28,4.7,0.039,94.0,0.98964,3.22,0.57,13.0,7
6.1,0.28,0.23,4.2,0.038,95.0,0.98898,2.97,0.7,13.0,6
5.8,0.3,0.38,4.9,0.039,86.0,0.98963,3.23,0.58,13.0,7
6.1,0.33,0.3,3.0,0.036,124.0,0.98922,3.31,0.4,13.0,7
6.2,0.28,0.28,4.3,0.026,105.0,0.989,2.98,0.64,13.0,8
6.0,0.31,0.38,4.8,0.04,101.0,0.98968,3.24,0.56,13.0,6
6.4,0.4,0.25,4.2,0.032,91.0,0.98988,3.26,0.52,13.0,6
6.2,0.29,0.32,3.6,0.026,138.0,0.9892,3.31,0.37,13.0,7
6.5,0.28,0.38,7.8,0.031,216.0,0.99154,3.03,0.42,13.0,6
5.7,0.39,0.25,4.9,0.033,113.0,0.98966,3.26,0.58,13.0,7
7.1,0.35,0.27,3.1,0.034,134.0,0.9897,3.26,0.38,13.0,7
5.8,0.3,0.38,4.9,0.039,86.0,0.98963,3.23,0.58,13.0,7
5.5,0.34,0.26,2.2,0.021,119.0,0.98919,3.55,0.49,13.0,8
5.2,0.31,0.2,2.4,0.027,117.0,0.98886,3.56,0.45,13.0,7
8.4,0.36,0.36,11.1,0.032,132.0,0.99313,2.95,0.39,13.0,6
6.6,0.39,0.22,4.0,0.038,98.0,0.99018,3.25,0.53,13.0,7
6.0,0.28,0.27,15.5,0.036,134.0,0.99408,3.19,0.44,13.0,7
7.9,0.35,0.28,12.9,0.032,63.0,0.9932,2.99,0.43,13.0,6
8.1,0.31,0.36,8.2,0.028,142.0,0.9925,3.01,0.34,13.0,7
7.5,0.38,0.29,4.9,0.021,113.0,0.99026,3.08,0.48,13.0,7
6.7,0.47,0.29,4.75,0.034,134.0,0.99056,3.29,0.46,13.0,7
7.8,0.28,0.25,3.4,0.024,99.0,0.98959,2.98,0.37,13.0,6
6.0,0.28,0.27,15.5,0.036,134.0,0.99408,3.19,0.44,13.0,7
6.5,0.5,0.22,4.1,0.036,131.0,0.9902,3.26,0.55,13.0,7
6.7,0.51,0.24,2.1,0.043,155.0,0.9904,3.22,0.6,13.0,6
5.8,0.32,0.28,4.3,0.032,115.0,0.98946,3.16,0.57,13.0,8
6.7,0.46,0.21,4.0,0.034,88.0,0.99016,3.26,0.54,13.0,6
6.7,0.48,0.49,2.9,0.03,122.0,0.98926,3.13,0.4,13.0,6
5.8,0.32,0.28,4.3,0.032,115.0,0.98946,3.16,0.57,13.0,8
6.7,0.48,0.49,2.9,0.03,122.0,0.98926,3.13,0.4,13.0,6
6.5,0.44,0.47,5.45,0.014,137.0,0.98984,3.13,0.32,13.0,8
6.1,0.36,0.26,8.15,0.035,88.0,0.99031,3.06,0.27,13.0,7
6.6,0.35,0.26,2.7,0.045,129.0,0.98952,3.24,0.48,13.0,7
6.0,0.28,0.27,15.5,0.036,134.0,0.99408,3.19,0.44,13.0,7
6.9,0.27,0.25,7.5,0.03,117.0,0.99116,3.09,0.38,13.0,6
5.0,0.3,0.33,3.7,0.03,173.0,0.9887,3.36,0.3,13.0,7
6.7,0.35,0.32,9.0,0.032,113.0,0.99188,3.13,0.65,13.0,7
6.3,0.43,0.32,8.8,0.042,106.0,0.99172,3.28,0.33,13.0,7
6.7,0.24,0.31,2.3,0.044,113.0,0.99013,3.29,0.46,13.0,6
6.7,0.35,0.32,9.0,0.032,113.0,0.99188,3.13,0.65,13.0,7
5.6,0.12,0.33,2.9,0.044,73.0,0.98896,3.17,0.32,13.0,8
6.8,0.3,0.29,6.2,0.025,95.0,0.99071,3.03,0.32,13.0,7
6.6,0.24,0.38,12.75,0.034,74.0,0.99386,3.1,0.57,13.0,6
8.0,0.17,0.29,2.4,0.029,119.0,0.98944,3.03,0.33,13.0,6
6.6,0.5,0.26,11.3,0.029,110.0,0.99302,3.27,0.78,13.0,8
6.6,0.29,0.39,6.75,0.031,98.0,0.9913,3.15,0.8,13.0,7
8.0,0.17,0.29,2.4,0.029,119.0,0.98944,3.03,0.33,13.0,6
6.2,0.2,0.26,9.7,0.03,102.0,0.9908,3.08,0.56,13.0,7
6.3,0.3,0.29,2.1,0.048,142.0,0.98956,3.22,0.46,13.0,7
5.0,0.29,0.54,5.7,0.035,155.0,0.98976,3.27,0.34,13.0,8
7.1,0.26,0.49,2.2,0.032,113.0,0.9903,3.37,0.42,13.0,9
7.3,0.22,0.31,2.3,0.018,80.0,0.98936,3.06,0.34,13.0,7
6.0,0.25,0.28,2.2,0.026,126.0,0.9898,3.43,0.65,13.0,8
5.8,0.42,0.3,2.2,0.035,129.0,0.989,3.32,0.47,13.0,6
5.6,0.12,0.33,2.9,0.044,73.0,0.98896,3.17,0.32,13.0,8
6.7,0.41,0.24,5.4,0.035,115.0,0.9901,3.12,0.44,13.0,7
6.7,0.41,0.24,5.4,0.035,115.0,0.9901,3.12,0.44,13.0,7
7.5,0.42,0.34,4.3,0.04,108.0,0.99155,3.14,0.45,13.0,8
7.3,0.3,0.34,2.7,0.044,108.0,0.99105,3.36,0.53,13.0,8
6.9,0.4,0.3,10.6,0.033,87.0,0.99265,3.15,0.45,13.0,6
8.2,0.42,0.29,4.1,0.03,100.0,0.9911,3.0,0.32,13.0,7
7.7,0.32,0.48,2.3,0.04,114.0,0.9911,3.2,0.52,13.0,7
8.2,0.42,0.29,4.1,0.03,100.0,0.9911,3.0,0.32,13.0,7
7.9,0.46,0.32,4.1,0.033,138.0,0.9912,3.18,0.44,13.0,7
6.3,0.29,0.29,3.3,0.037,140.0,0.9895,3.17,0.36,13.0,7
6.3,0.29,0.29,3.3,0.037,140.0,0.9895,3.17,0.36,13.0,7
6.2,0.24,0.27,2.9,0.039,123.0,0.98959,3.12,0.37,13.0,6
5.8,0.28,0.34,4.0,0.031,99.0,0.9896,3.39,0.39,13.0,7
6.6,0.24,0.3,11.3,0.026,77.0,0.99381,3.13,0.55,13.0,7
6.5,0.32,0.3,2.3,0.051,127.0,0.98964,3.13,0.52,13.0,6
6.3,0.36,0.28,2.5,0.035,73.0,0.98868,3.1,0.47,13.0,7
